route_id,stops,num_stops,total_pallets,total_duration_sec,total_duration_hms
Tue_00436,Pak 'n Save Glen Innes;Four Square Britomart,2,14,20352.02,05:39:12
Tue_00437,New World Mt Albert;New World Stonefields,2,15,20355.57,05:39:15
Tue_00438,Four Square Eden Terrace;New World Mt Albert;New World Metro Queen St,3,15,20357.7,05:39:17
Tue_00439,Pak 'n Save Mt Albert;New World Newmarket,2,16,20358.3,05:39:18
Tue_00440,New World Mt Roskill;New World Point Chevalier;Four Square Onehunga,3,16,20363.26,05:39:23
Tue_00441,Four Square Ellerslie;Pak 'n Save Sylvia Park,2,15,20368.85,05:39:28
Tue_00442,Four Square Ellerslie;New World Stonefields;Four Square Remuera,3,15,20369.65,05:39:29
Tue_00443,New World New Lynn;Four Square Glen Eden;Four Square Fair Price Henderson,3,15,20376.85,05:39:36
Tue_00444,New World Papatoetoe;New World Southmall,2,15,20377.05,05:39:37
Tue_00445,New World Southmall;Four Square Ellerslie;Four Square Eden Terrace,3,14,20377.13,05:39:37
Tue_00446,Pak 'n Save Sylvia Park;Four Square Ellerslie,2,15,20379.65,05:39:39
Tue_00447,New World Green Bay;Four Square Glen Eden;Four Square Fair Price Henderson,3,15,20380.36,05:39:40
Tue_00448,Pak 'n Save Royal Oak;Four Square Ellerslie,2,16,20391.22,05:39:51
Tue_00449,New World Mt Roskill;Four Square St Heliers;Four Square Ellerslie,3,14,20401.22,05:40:01
Tue_00450,Four Square Ellerslie;Pak 'n Save Royal Oak,2,16,20406.59,05:40:06
Tue_00451,New World Mt Albert;New World Ormiston,2,14,20408.43,05:40:08
Tue_00452,New World Hobsonville;Four Square Hobsonville;Four Square Britomart,3,14,20408.81,05:40:08
Tue_00453,Four Square Botany Junction;Pak 'n Save Manukau,2,15,20414.66,05:40:14
Tue_00454,New World New Lynn;New World Remuera,2,15,20416.04,05:40:16
Tue_00455,New World Stonefields;Four Square Onehunga;Four Square Ellerslie,3,14,20421.99,05:40:21
