route_id,stops,num_stops,total_pallets,total_duration_sec,total_duration_hms
Wed_00938,New World Browns Bay;Four Square Torbay;Four Square Fair Price Henderson,3,15,23547.09,06:32:27
Wed_00939,New World Metro Queen St;Four Square Britomart;New World Victoria Park;Four Square Pakuranga Heights,4,16,23548.07,06:32:28
Wed_00940,Four Square Cockle Bay;Pak 'n Save Highland Park;Four Square Glen Eden,3,15,23563.92,06:32:43
Wed_00941,New World Milford;New World Stonefields,2,16,23579.57,06:32:59
Wed_00942,New World Devonport;New World Metro Shore City;Four Square Eden Terrace,3,16,23584.05,06:33:04
Wed_00943,Four Square Remuera;Four Square St Heliers;Pak 'n Save Lincoln Road,3,16,23597.07,06:33:17
Wed_00944,New World Point Chevalier;New World Victoria Park;Four Square Cockle Bay,3,15,23614.56,06:33:34
Wed_00945,Four Square Onehunga;New World Milford;Four Square Lancaster,3,16,23615.9,06:33:35
Wed_00946,New World Long Bay;Four Square Ellerslie;Four Square Eden Terrace,3,15,23636.18,06:33:56
Wed_00947,New World Mt Roskill;Four Square Cockle Bay;Four Square Fair Price Henderson,3,15,23641.93,06:34:01
Wed_00948,Four Square Remuera;New World Remuera;Four Square Lancaster,3,16,23648.06,06:34:08
Wed_00949,New World New Lynn;Four Square Torbay;New World Metro Shore City,3,15,23650.18,06:34:10
Wed_00950,Pak 'n Save Lincoln Road;Four Square Lancaster;New World Metro Queen St,3,16,23651.28,06:34:11
Wed_00951,New World Mt Roskill;Four Square Glen Eden;Four Square Botany Junction,3,16,23664.01,06:34:24
Wed_00952,Pak 'n Save Botany;Four Square Hobsonville,2,15,23667.1,06:34:27
Wed_00953,New World Howick;New World Hobsonville,2,15,23681.77,06:34:41
Wed_00954,New World Victoria Park;Four Square Remuera;New World Birkenhead,3,16,23681.89,06:34:41
Wed_00955,New World New Lynn;Four Square Lancaster;Four Square Britomart,3,16,23683.42,06:34:43
Wed_00956,Four Square Torbay;New World Long Bay;Four Square Ellerslie,3,15,23684.99,06:34:44
Wed_00957,New World Birkenhead;New World Point Chevalier;Four Square Ellerslie,3,16,23689.64,06:34:49
Wed_00958,Four Square Remuera;New World Milford;Four Square Britomart,3,16,23691.54,06:34:51
Wed_00959,New World Papatoetoe;Four Square Glen Eden;Four Square Onehunga,3,16,23697.95,06:34:57
Wed_00960,New World Hobsonville;Four Square Hobsonville;New World Metro Queen St;Four Square Ellerslie,4,16,23708.24,06:35:08
