route_id,stops,num_stops,total_pallets,total_duration_sec,cost,over_policy_35h,overtime_4h,total_duration_hms
Mon_00065,Four Square Ellerslie;Four Square Remuera;New World Metro Queen St,3,10,15067.03,1190.0,True,True,04:11:07.030000
Mon_00066,Four Square Ellerslie;New World Stonefields;Four Square Remuera,3,13,18209.65,1500.0,True,True,05:03:29.650000
Mon_00067,Four Square Ellerslie;Four Square Remuera;New World Eastridge,3,14,19653.39,1500.0,True,True,05:27:33.390000
Mon_00068,New World Newmarket;Four Square Ellerslie;Four Square Remuera,3,14,18957.64,1500.0,True,True,05:15:57.640000
Mon_00069,Four Square Ellerslie;Four Square Remuera;New World Remuera,3,15,20026.52,1500.0,True,True,05:33:46.520000
Mon_00070,Four Square Ellerslie;Pak 'n Save Glen Innes;Four Square Remuera,3,16,22253.34,1810.0,True,True,06:10:53.340000
Mon_00071,Pak 'n Save Royal Oak;Four Square Ellerslie;Four Square Remuera,3,16,20607.54,1500.0,True,True,05:43:27.540000
Mon_00072,Four Square Ellerslie;Four Square Eden Terrace,2,7,11177.67,683.08,False,False,03:06:17.670000
Mon_00073,Four Square Ellerslie;New World Metro Queen St;Four Square Eden Terrace,3,11,16154.19,1190.0,True,True,04:29:14.190000
Mon_00074,Four Square Ellerslie;New World Stonefields;Four Square Eden Terrace,3,14,19356.13,1500.0,True,True,05:22:36.130000
Mon_00075,Four Square Eden Terrace;Four Square Ellerslie;New World Eastridge,3,15,21005.43,1500.0,True,True,05:50:05.430000
Mon_00076,New World Newmarket;Four Square Ellerslie;Four Square Eden Terrace,3,15,20038.57,1500.0,True,True,05:33:58.570000
Mon_00077,Four Square Ellerslie;New World Remuera;Four Square Eden Terrace,3,16,21215.92,1500.0,True,True,05:53:35.920000
Mon_00078,Four Square Ellerslie;New World Metro Queen St,2,7,11610.71,709.54,False,False,03:13:30.710000
Mon_00079,Four Square Ellerslie;New World Stonefields;New World Metro Queen St,3,14,19789.16,1500.0,True,True,05:29:49.160000
Mon_00080,Four Square Ellerslie;New World Eastridge;New World Metro Queen St,3,15,21123.29,1500.0,True,True,05:52:03.290000
Mon_00081,New World Newmarket;Four Square Ellerslie;New World Metro Queen St,3,15,20471.61,1500.0,True,True,05:41:11.610000
Mon_00082,Four Square Ellerslie;New World Remuera,2,12,16678.66,1190.0,True,True,04:37:58.660000
Mon_00083,Four Square Ellerslie;Pak 'n Save Glen Innes,2,13,18970.76,1500.0,True,True,05:16:10.760000
Mon_00084,Four Square Ellerslie;Pak 'n Save Sylvia Park,2,14,19288.85,1500.0,True,True,05:21:28.850000
Mon_00085,Four Square Fair Price Henderson,1,3,6493.13,396.8,False,False,01:48:13.130000
Mon_00086,Four Square Fair Price Henderson;Pak 'n Save Henderson,2,14,18807.13,1500.0,True,True,05:13:27.130000
Mon_00087,Four Square Glen Eden,1,3,5805.3,354.77,False,False,01:36:45.300000
Mon_00088,Four Square Glen Eden;New World Green Bay,2,9,12446.09,760.59,False,False,03:27:26.090000
Mon_00089,Four Square Glen Eden;New World New Lynn,2,9,12464.23,761.7,False,False,03:27:44.230000
Mon_00090,Four Square Glen Eden;Pak 'n Save Henderson,2,14,18828.98,1500.0,True,True,05:13:48.980000
Mon_00091,Four Square Lancaster,1,3,8085.84,494.13,False,False,02:14:45.840000
Mon_00092,New World Birkenhead;Four Square Lancaster,2,10,15765.15,1190.0,True,True,04:22:45.150000
