route_id,stops,num_stops,total_pallets,total_duration_sec,cost,over_policy_35h,overtime_4h,total_duration_hms
Thu_00115,New World Long Bay;Four Square Torbay,2,12,19381.36,1500.0,True,True,05:23:01.360000
Thu_00116,Four Square Torbay;New World Albany,2,13,20673.56,1500.0,True,True,05:44:33.560000
Thu_00117,Pak 'n Save Albany;Four Square Torbay,2,16,23946.38,1810.0,True,True,06:39:06.380000
Thu_00118,New World Metro Queen St,1,4,7173.37,438.37,False,False,01:59:33.370000
Thu_00119,New World Victoria Park;New World Metro Queen St,2,13,17167.22,1190.0,True,True,04:46:07.220000
Thu_00120,Four Square Glen Eden,1,5,7965.3,486.77,False,False,02:12:45.300000
Thu_00121,New World Newmarket,1,7,10294.83,629.13,False,False,02:51:34.830000
Thu_00122,New World Papakura,1,7,12397.54,757.63,False,False,03:26:37.540000
Thu_00123,New World Papatoetoe,1,7,10605.88,648.14,False,False,02:56:45.880000
Thu_00124,New World Point Chevalier,1,7,9644.17,589.37,False,False,02:40:44.170000
Thu_00125,New World Southmall,1,7,11353.98,693.85,False,False,03:09:13.980000
Thu_00126,New World Browns Bay,1,8,14372.45,878.32,True,False,03:59:32.450000
Thu_00127,New World Long Bay;New World Browns Bay,2,16,23823.86,1810.0,True,True,06:37:03.860000
Thu_00128,New World Green Bay,1,8,10365.54,633.45,False,False,02:52:45.540000
Thu_00129,New World Hobsonville,1,8,12329.76,753.49,False,False,03:25:29.760000
Thu_00130,New World Howick,1,8,13789.9,842.72,True,False,03:49:49.900000
Thu_00131,New World Long Bay,1,8,14796.92,1190.0,True,True,04:06:36.920000
Thu_00132,New World Milford,1,8,13167.21,804.66,True,False,03:39:27.210000
Thu_00133,New World Mt Roskill,1,8,9032.66,552.0,False,False,02:30:32.660000
Thu_00134,New World New Lynn,1,8,10301.69,629.55,False,False,02:51:41.690000
Thu_00135,New World Ormiston,1,8,12976.64,793.02,True,False,03:36:16.640000
Thu_00136,New World Remuera,1,8,11870.35,725.41,False,False,03:17:50.350000
Thu_00137,New World Stonefields,1,8,12571.35,768.25,False,False,03:29:31.350000
Thu_00138,New World Albany,1,9,15076.37,1190.0,True,True,04:11:16.370000
Thu_00139,New World Birkenhead,1,9,13945.77,852.24,True,False,03:52:25.770000
Thu_00140,New World Botany,1,9,14511.66,1190.0,True,True,04:01:51.660000
Thu_00141,New World Devonport,1,9,15228.05,1190.0,True,True,04:13:48.050000
