Supermarket,Weekday,Pallet Size
Pak 'n Save Royal Oak,Sunday,
Pak 'n Save Sylvia Park,Monday,11
Pak 'n Save Sylvia Park,Tuesday,11
Pak 'n Save Sylvia Park,Wednesday,11
Pak 'n Save Sylvia Park,Thursday,11
Pak 'n Save Sylvia Park,Friday,10
Pak 'n Save Sylvia Park,Saturday,6
Pak 'n Save Sylvia Park,Sunday,
Pak 'n Save Wairau Road,Monday,9
Pak 'n Save Wairau Road,Tuesday,10
Pak 'n Save Wairau Road,Wednesday,11
Pak 'n Save Wairau Road,Thursday,10
Pak 'n Save Wairau Road,Friday,11
Pak 'n Save Wairau Road,Saturday,5
Pak 'n Save Wairau Road,Sunday,
Pak 'n Save Westgate,Monday,10
Pak 'n Save Westgate,Tuesday,12
Pak 'n Save Westgate,Wednesday,10
Pak 'n Save Westgate,Thursday,13
Pak 'n Save Westgate,Friday,13
Pak 'n Save Westgate,Saturday,5
Pak 'n Save Westgate,Sunday,
